iter	Passed	Remaining
399	45864	22932
400	45962	22809
401	46069	22691
402	46186	22577
403	46311	22468
404	46432	22356
405	46574	22254
406	46678	22134
407	46782	22015
408	46912	21907
409	47068	21812
410	47191	21701
411	47293	21580
412	47401	21462
413	47504	21342
414	47623	21229
415	47759	21124
416	47858	21002
417	47960	20882
418	48069	20765
419	48172	20645
420	48274	20525
421	48388	20410
422	48494	20292
423	48598	20172
424	48699	20052
425	48801	19933
426	48902	19812
427	49012	19696
428	49114	19577
429	49215	19457
430	49323	19340
431	49419	19218
432	49546	19109
433	49652	18991
434	49753	18872
435	49862	18755
436	49962	18636
437	50079	18522
438	50189	18406
439	50302	18291
440	50409	18175
441	50524	18060
442	50625	17941
443	50721	17820
444	50827	17704
445	50933	17586
446	51042	17471
447	51163	17358
448	51267	17241
449	51375	17125
450	51485	17009
451	51587	16891
452	51698	16776
453	51805	16659
454	51905	16541
455	52010	16424
456	52124	16310
457	52224	16191
458	52329	16075
459	52443	15960
460	52548	15844
461	52655	15728
462	52770	15614
463	52901	15505
464	53013	15390
465	53123	15275
466	53225	15158
467	53325	15040
468	53442	14927
469	53541	14809
470	53640	14691
471	53741	14573
472	53847	14458
473	53938	14338
474	54044	14222
475	54144	14104
476	54240	13986
477	54346	13870
478	54445	13753
479	54554	13638
480	54660	13523
481	54755	13404
482	54858	13288
483	54956	13171
484	55072	13058
485	55172	12941
486	55276	12825
487	55367	12707
488	55472	12591
489	55568	12474
490	55682	12361
491	55787	12245
492	55924	12137
493	56150	12048
494	56248	11931
495	56336	11812
496	56443	11697
497	56546	11581
498	56652	11466
499	56753	11350
500	56860	11235
501	56963	11120
502	57074	11006
503	57175	10890
504	57299	10779
505	57402	10663
506	57507	10548
507	57616	10434
508	57717	10318
509	57810	10201
510	57917	10087
511	58016	9971
512	58152	9862
513	58276	9750
514	58382	9635
515	58489	9521
516	58588	9405
517	58696	9291
518	58803	9177
519	58924	9065
520	59024	8950
521	59141	8837
522	59243	8722
523	59361	8609
524	59472	8496
525	59591	8383
526	59712	8271
527	59836	8159
528	59937	8044
529	60042	7930
530	60152	7816
531	60257	7702
532	60360	7587
533	60455	7472
534	60553	7356
535	60661	7243
536	60763	7128
537	60866	7014
538	60969	6900
539	61071	6785
540	61194	6673
541	61299	6559
542	61402	6445
543	61507	6331
544	61608	6217
545	61712	6103
546	61831	5990
547	61929	5876
548	62031	5762
549	62125	5647
550	62227	5533
551	62334	5420
552	62440	5306
553	62546	5193
554	62658	5080
555	62766	4967
556	62879	4854
557	62986	4740
558	63090	4627
559	63202	4514
560	63338	4403
561	63434	4289
562	63556	4176
563	63658	4063
564	63760	3949
565	63876	3837
566	63977	3723
567	64078	3610
568	64192	3497
569	64299	3384
570	64403	3270
571	64510	3157
572	64628	3045
573	64759	2933
574	64884	2821
575	65008	2708
576	65109	2595
577	65217	2482
578	65325	2369
579	65441	2256
580	65551	2143
581	65659	2030
582	65763	1917
583	65887	1805
584	65995	1692
585	66120	1579
586	66231	1466
587	66333	1353
588	66442	1240
589	66547	1127
590	66654	1015
591	66768	902
592	66870	789
593	66966	676
594	67089	563
595	67195	450
596	67298	338
597	67409	225
598	67530	112
599	67651	0
