iter	MultiClass
0	2.394575557
1	2.06811138
2	1.823788573
3	1.653407548
4	1.506190666
5	1.407801245
6	1.292406305
7	1.20189817
8	1.125301461
9	1.050055617
10	0.9858863799
11	0.9259963825
12	0.8688524066
13	0.8282898563
14	0.777894379
15	0.7328940541
16	0.6943196873
17	0.6560721034
18	0.6223082243
19	0.5905639587
20	0.5601319352
21	0.5317179706
22	0.5049306164
23	0.4823424157
24	0.4606645655
25	0.4387121479
26	0.4183354512
27	0.3982127336
28	0.3801939553
29	0.3629903976
30	0.3469870931
31	0.331806437
32	0.3175158
33	0.3036493678
34	0.2926357909
35	0.2805611309
36	0.2690738358
37	0.2601508359
38	0.2488004794
39	0.2398561626
40	0.2299713706
41	0.2214237521
42	0.2134859434
43	0.2052834918
44	0.1971735475
45	0.1893400145
46	0.1831127667
47	0.1772104885
48	0.1709855478
49	0.1649570579
50	0.1590534374
51	0.1529887596
52	0.1474370101
53	0.142425571
54	0.1376315772
55	0.1332737546
56	0.1293969023
57	0.1256975465
58	0.1216167566
59	0.1170849307
60	0.1136102168
61	0.1099931161
62	0.1068209528
63	0.1040944459
64	0.1007372958
65	0.09722418409
66	0.09376836339
67	0.09070882235
68	0.0875388369
69	0.08452858258
70	0.08180556852
71	0.07945407133
72	0.07678253656
73	0.07463266273
74	0.0725396281
75	0.07031134613
76	0.06810836262
77	0.06611470124
78	0.06412065424
79	0.06209066339
80	0.06007704448
81	0.05861284717
82	0.05686663731
83	0.05538739138
84	0.05376873118
85	0.05230084405
86	0.05072248612
87	0.04940972693
88	0.04823491345
89	0.04695043643
90	0.04572311945
91	0.04443583905
92	0.04321817637
93	0.04207628682
94	0.04093644262
95	0.04002557444
96	0.03907890419
97	0.0381568083
98	0.03721513225
99	0.03621622512
100	0.03516844781
101	0.03447582081
102	0.03356904901
103	0.03272148079
104	0.03187276812
105	0.03121680157
106	0.03033676887
107	0.02954303377
108	0.0287968717
109	0.02821589771
110	0.02765602918
111	0.02698898255
112	0.02631108778
113	0.02579233518
114	0.0252972686
115	0.02489047796
116	0.02443009771
117	0.02389134216
118	0.02346840348
119	0.0230024863
120	0.02249378207
121	0.02202530146
122	0.02165998359
123	0.02125824762
124	0.0209519552
125	0.02058646457
126	0.02015145622
127	0.01993998698
128	0.01955110243
129	0.01918446319
130	0.01896405341
131	0.0186276438
132	0.01824462319
133	0.01788788585
134	0.01757810373
135	0.01729417734
136	0.01698553442
137	0.01662362316
138	0.01643784811
139	0.0162624813
140	0.01596441375
141	0.01569031941
142	0.01536999253
143	0.01518866764
144	0.01497780578
145	0.01473004022
146	0.01446366563
147	0.01432037455
148	0.01404494967
149	0.01381236795
150	0.01369118719
151	0.01347750325
152	0.01325856977
153	0.01305327164
154	0.0128288243
155	0.01265298077
156	0.012457988
157	0.01231707694
158	0.0121910354
159	0.01202559981
160	0.01180194461
161	0.01164402656
162	0.0115688881
